path,module,source_set,classification,inferred_production_reachability,inferred_main_callers_or_consumers,inventory_status,historical_change_or_finding_reference,suggested_disposition
ARCHITECTURE.md,repository,documentation,historical-document,NON-RUNTIME: review/release/contributor evidence,"reviewers, contributors, release operators, and contract tests",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 31c18a5db0f7f77e39bee1eba92208a739cb565d (fix(protocol): resume peer command sequences from snapshots); independent review not attested,RETAIN AS HISTORICAL; authority banner requires separate inspection
CLAUDE.md,repository,documentation,operational-document,NON-RUNTIME: review/release/contributor evidence,"reviewers, contributors, release operators, and contract tests",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change a6cef349a814a46cbd26f4230b1f5f4f62cba86c (docs(architecture): inventory networking test module); independent review not attested,"RETAIN in the current production, build, test, or release contract"
CONTINUE_HERE.md,repository,documentation,operational-document,NON-RUNTIME: review/release/contributor evidence,"reviewers, contributors, release operators, and contract tests",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 160824e17caa384fa1802a82760638de1f71f2af (fix(verification): qualify continuation controls for hosted native runs); independent review not attested,"RETAIN in the current production, build, test, or release contract"
PROBLEMS_PARLOR.md,repository,documentation,historical-document,NON-RUNTIME: review/release/contributor evidence,"reviewers, contributors, release operators, and contract tests",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,No historical change mapped; independent review not attested,RETAIN AS HISTORICAL; authority banner requires separate inspection
README.md,repository,documentation,operational-document,NON-RUNTIME: review/release/contributor evidence,"reviewers, contributors, release operators, and contract tests",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change a6cef349a814a46cbd26f4230b1f5f4f62cba86c (docs(architecture): inventory networking test module); independent review not attested,"RETAIN in the current production, build, test, or release contract"
assets/branding/parlor-app-icon-master.png,repository,repository,source-artwork,NON-RUNTIME MASTER: source for derived app/store artwork,launcher/store asset derivation and visual release review,MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,No historical change mapped; independent review not attested,RETAIN master; derived asset/device/store visual checks remain external
audit-runs/2026-09-05-source-audit/CLEANUP_LEDGER.json,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
audit-runs/2026-09-05-source-audit/CONTINUATION.md,repository,documentation,operational-document,NON-RUNTIME: review/release/contributor evidence,"reviewers, contributors, release operators, and contract tests",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
audit-runs/2026-09-05-source-audit/COVERAGE.md,repository,documentation,operational-document,NON-RUNTIME: review/release/contributor evidence,"reviewers, contributors, release operators, and contract tests",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
audit-runs/2026-09-05-source-audit/FINAL_REPORT.md,repository,documentation,operational-document,NON-RUNTIME: review/release/contributor evidence,"reviewers, contributors, release operators, and contract tests",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
audit-runs/2026-09-05-source-audit/FINDINGS.md,repository,documentation,operational-document,NON-RUNTIME: review/release/contributor evidence,"reviewers, contributors, release operators, and contract tests",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
audit-runs/2026-09-05-source-audit/OTHER_CANDIDATES.md,repository,documentation,operational-document,NON-RUNTIME: review/release/contributor evidence,"reviewers, contributors, release operators, and contract tests",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
audit-runs/2026-09-05-source-audit/README.md,repository,documentation,operational-document,NON-RUNTIME: review/release/contributor evidence,"reviewers, contributors, release operators, and contract tests",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
audit-runs/2026-09-05-source-audit/RESEARCH_AND_CLEANUP.md,repository,documentation,operational-document,NON-RUNTIME: review/release/contributor evidence,"reviewers, contributors, release operators, and contract tests",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
audit-runs/2026-09-05-source-audit/RESEARCH_INDEX.json,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
audit-runs/2026-09-05-source-audit/VERIFICATION.md,repository,documentation,operational-document,NON-RUNTIME: review/release/contributor evidence,"reviewers, contributors, release operators, and contract tests",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
audit-runs/2026-09-05-source-audit/assemble_coverage.py,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
audit-runs/2026-09-05-source-audit/assemble_findings.py,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
audit-runs/2026-09-05-source-audit/assemble_indexes.py,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
audit-runs/2026-09-05-source-audit/assemble_verification.py,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
audit-runs/2026-09-05-source-audit/assignments/design_system_mafia_cont.txt,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
audit-runs/2026-09-05-source-audit/assignments/docs-whodunit_cont.txt,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
audit-runs/2026-09-05-source-audit/assignments/historical_handoff_docs_mafia_cont.txt,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
audit-runs/2026-09-05-source-audit/assignments/mafia_engine.txt,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
audit-runs/2026-09-05-source-audit/assignments/product_docs_mafia_cont.txt,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
audit-runs/2026-09-05-source-audit/assignments/prototype_design_docs_mafia_cont.txt,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
audit-runs/2026-09-05-source-audit/assignments/release-whodunit_cont.txt,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
audit-runs/2026-09-05-source-audit/assignments/review_inventory_mafia_cont.txt,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
audit-runs/2026-09-05-source-audit/assignments/root.txt,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
audit-runs/2026-09-05-source-audit/assignments/session_network.txt,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
audit-runs/2026-09-05-source-audit/assignments/verification_metadata_mafia_cont.txt,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
audit-runs/2026-09-05-source-audit/assignments/whodunit_content.txt,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
audit-runs/2026-09-05-source-audit/audit_inventory.py,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
audit-runs/2026-09-05-source-audit/baseline.json,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
audit-runs/2026-09-05-source-audit/build_graph.init.gradle,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
audit-runs/2026-09-05-source-audit/candidates/DOC-C1-local-name-retention.md,repository,documentation,operational-document,NON-RUNTIME: review/release/contributor evidence,"reviewers, contributors, release operators, and contract tests",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
audit-runs/2026-09-05-source-audit/candidates/DOC-C2-game-vs-room-terminal.md,repository,documentation,operational-document,NON-RUNTIME: review/release/contributor evidence,"reviewers, contributors, release operators, and contract tests",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
audit-runs/2026-09-05-source-audit/candidates/DOC-C3-xcode-team-change-scope.md,repository,documentation,operational-document,NON-RUNTIME: review/release/contributor evidence,"reviewers, contributors, release operators, and contract tests",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
audit-runs/2026-09-05-source-audit/candidates/DOC-C4-release-required-job-count.md,repository,documentation,operational-document,NON-RUNTIME: review/release/contributor evidence,"reviewers, contributors, release operators, and contract tests",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
audit-runs/2026-09-05-source-audit/candidates/DOC-C5-C6-root.md,repository,documentation,operational-document,NON-RUNTIME: review/release/contributor evidence,"reviewers, contributors, release operators, and contract tests",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
audit-runs/2026-09-05-source-audit/candidates/DS-C01-ios-follow-system-locale.md,repository,documentation,operational-document,NON-RUNTIME: review/release/contributor evidence,"reviewers, contributors, release operators, and contract tests",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
audit-runs/2026-09-05-source-audit/candidates/DS-C02-toast-identity-reuse.md,repository,documentation,operational-document,NON-RUNTIME: review/release/contributor evidence,"reviewers, contributors, release operators, and contract tests",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
audit-runs/2026-09-05-source-audit/candidates/DS-C03-light-cover-ghost-contrast.md,repository,documentation,operational-document,NON-RUNTIME: review/release/contributor evidence,"reviewers, contributors, release operators, and contract tests",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
audit-runs/2026-09-05-source-audit/candidates/INV-C01-generated-review-status.md,repository,documentation,operational-document,NON-RUNTIME: review/release/contributor evidence,"reviewers, contributors, release operators, and contract tests",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
audit-runs/2026-09-05-source-audit/candidates/INV-C02-inventory-test-classification.md,repository,documentation,operational-document,NON-RUNTIME: review/release/contributor evidence,"reviewers, contributors, release operators, and contract tests",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
audit-runs/2026-09-05-source-audit/candidates/IOS-B1-xcode-swallowed-framework-failure.md,repository,documentation,operational-document,NON-RUNTIME: review/release/contributor evidence,"reviewers, contributors, release operators, and contract tests",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
audit-runs/2026-09-05-source-audit/candidates/IOS-R1-simulator-recovery-unavailable.md,repository,documentation,operational-document,NON-RUNTIME: review/release/contributor evidence,"reviewers, contributors, release operators, and contract tests",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
audit-runs/2026-09-05-source-audit/candidates/M-C01-doctor-recovery-history.md,repository,documentation,operational-document,NON-RUNTIME: review/release/contributor evidence,"reviewers, contributors, release operators, and contract tests",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
audit-runs/2026-09-05-source-audit/candidates/M-C02-connected-retirement-rejected.md,repository,documentation,operational-document,NON-RUNTIME: review/release/contributor evidence,"reviewers, contributors, release operators, and contract tests",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
audit-runs/2026-09-05-source-audit/candidates/M-C03-mafia-row-layout.md,repository,documentation,operational-document,NON-RUNTIME: review/release/contributor evidence,"reviewers, contributors, release operators, and contract tests",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
audit-runs/2026-09-05-source-audit/candidates/MT-C1-kotlin-kapt-advisory-applicability.md,repository,documentation,operational-document,NON-RUNTIME: review/release/contributor evidence,"reviewers, contributors, release operators, and contract tests",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
audit-runs/2026-09-05-source-audit/candidates/MT-T1-artifact-hash-assertion-scope.md,repository,documentation,operational-document,NON-RUNTIME: review/release/contributor evidence,"reviewers, contributors, release operators, and contract tests",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
audit-runs/2026-09-05-source-audit/candidates/RL-C1-whodunit_cont.md,repository,documentation,operational-document,NON-RUNTIME: review/release/contributor evidence,"reviewers, contributors, release operators, and contract tests",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
audit-runs/2026-09-05-source-audit/candidates/RL-C2-whodunit_cont.md,repository,documentation,operational-document,NON-RUNTIME: review/release/contributor evidence,"reviewers, contributors, release operators, and contract tests",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
